date,model,variable,RGR,n_assets,perturbation_percentage
2025-04-01,ridge,log_mktcap,0.789143,407,0.05
2025-05-01,ridge,ret_1w,0.999745,407,0.05
2025-05-01,ridge,amihud,0.984412,407,0.05
2025-05-01,ridge,vol_3m,0.979804,407,0.05
2025-05-01,ridge,ret_1m,0.974869,407,0.05
2025-05-01,ridge,ret_6m,0.974271,407,0.05
2025-05-01,ridge,ret_12m,0.97195,407,0.05
2025-05-01,ridge,vol_ratio,0.963253,407,0.05
2025-05-01,ridge,ret_3m,0.96269,407,0.05
2025-05-01,ridge,vol_1m,0.943365,407,0.05
2025-05-01,ridge,log_mktcap,0.77493,407,0.05
2025-06-02,ridge,ret_1w,0.999849,407,0.05
2025-06-02,ridge,vol_3m,0.98666,407,0.05
2025-06-02,ridge,amihud,0.98187,407,0.05
2025-06-02,ridge,ret_1m,0.978568,407,0.05
2025-06-02,ridge,vol_ratio,0.976917,407,0.05
2025-06-02,ridge,ret_12m,0.975146,407,0.05
2025-06-02,ridge,ret_6m,0.95843,407,0.05
2025-06-02,ridge,ret_3m,0.939551,407,0.05
2025-06-02,ridge,vol_1m,0.93751,407,0.05
2025-06-02,ridge,log_mktcap,0.779373,407,0.05
2025-07-01,ridge,ret_1w,0.999971,407,0.05
2025-07-01,ridge,vol_3m,0.994194,407,0.05
2025-07-01,ridge,ret_1m,0.988407,407,0.05
2025-07-01,ridge,amihud,0.980144,407,0.05
2025-07-01,ridge,vol_ratio,0.973352,407,0.05
2025-07-01,ridge,ret_12m,0.972521,407,0.05
2025-07-01,ridge,ret_6m,0.964561,407,0.05
2025-07-01,ridge,ret_3m,0.945308,407,0.05
2025-07-01,ridge,vol_1m,0.942383,407,0.05
2025-07-01,ridge,log_mktcap,0.780695,407,0.05
2025-08-01,ridge,ret_1w,0.999999,407,0.05
2025-08-01,ridge,vol_3m,0.999337,407,0.05
2025-08-01,ridge,ret_1m,0.989662,407,0.05
2025-08-01,ridge,amihud,0.982855,407,0.05
2025-08-01,ridge,ret_12m,0.98092,407,0.05
2025-08-01,ridge,vol_ratio,0.973002,407,0.05
2025-08-01,ridge,ret_3m,0.961387,407,0.05
2025-08-01,ridge,ret_6m,0.958195,407,0.05
2025-08-01,ridge,vol_1m,0.951134,407,0.05
2025-08-01,ridge,log_mktcap,0.773488,407,0.05
