date,model,variable,RGE,n_assets
2023-06-01,xgboost,ret_3m,0.047541,407
2023-06-01,xgboost,ret_12m,0.037471,407
2023-06-01,xgboost,vol_ratio,0.03514,407
2023-06-01,xgboost,ret_6m,0.027666,407
2023-06-01,xgboost,ret_1w,0.024001,407
2023-06-01,xgboost,vol_1m,0.011204,407
2023-07-03,xgboost,log_mktcap,0.208646,407
2023-07-03,xgboost,ret_1m,0.070253,407
2023-07-03,xgboost,ret_12m,0.037007,407
2023-07-03,xgboost,ret_6m,0.017389,407
2023-07-03,xgboost,vol_ratio,0.011384,407
2023-07-03,xgboost,ret_3m,0.008201,407
2023-07-03,xgboost,amihud,0.007084,407
2023-07-03,xgboost,ret_1w,0.005413,407
2023-07-03,xgboost,vol_3m,0.005002,407
2023-07-03,xgboost,vol_1m,0.000827,407
2023-08-01,xgboost,log_mktcap,0.21602,407
2023-08-01,xgboost,ret_1m,0.144013,407
2023-08-01,xgboost,ret_3m,0.115171,407
2023-08-01,xgboost,ret_6m,0.096203,407
2023-08-01,xgboost,ret_12m,0.057293,407
2023-08-01,xgboost,vol_ratio,0.042378,407
2023-08-01,xgboost,amihud,0.040138,407
2023-08-01,xgboost,vol_1m,0.038191,407
2023-08-01,xgboost,vol_3m,0.011266,407
2023-08-01,xgboost,ret_1w,0.0,407
2023-09-01,xgboost,log_mktcap,0.186061,407
2023-09-01,xgboost,ret_1m,0.130556,407
2023-09-01,xgboost,ret_12m,0.020922,407
2023-09-01,xgboost,vol_ratio,0.01028,407
2023-09-01,xgboost,amihud,0.008616,407
2023-09-01,xgboost,ret_1w,0.004307,407
2023-09-01,xgboost,ret_3m,0.00358,407
2023-09-01,xgboost,ret_6m,0.003183,407
2023-09-01,xgboost,vol_3m,0.00116,407
2023-09-01,xgboost,vol_1m,0.0,407
2023-10-02,xgboost,log_mktcap,0.208022,407
2023-10-02,xgboost,ret_1m,0.091991,407
2023-10-02,xgboost,ret_12m,0.017145,407
2023-10-02,xgboost,ret_3m,0.014991,407
2023-10-02,xgboost,ret_6m,0.009847,407
2023-10-02,xgboost,vol_ratio,0.004921,407
2023-10-02,xgboost,amihud,0.004757,407
2023-10-02,xgboost,ret_1w,0.002133,407
2023-10-02,xgboost,vol_3m,0.00142,407
2023-10-02,xgboost,vol_1m,0.001405,407
2023-11-01,xgboost,log_mktcap,0.167833,407
2023-11-01,xgboost,ret_1m,0.122425,407
2023-11-01,xgboost,ret_12m,0.035337,407
2023-11-01,xgboost,ret_6m,0.006429,407
2023-11-01,xgboost,ret_1w,0.006117,407
2023-11-01,xgboost,vol_ratio,0.00431,407
2023-11-01,xgboost,ret_3m,0.002454,407
2023-11-01,xgboost,vol_3m,0.002186,407
2023-11-01,xgboost,amihud,0.002085,407
2023-11-01,xgboost,vol_1m,0.000126,407
2023-12-01,xgboost,log_mktcap,0.265109,407
2023-12-01,xgboost,ret_1m,0.107388,407
2023-12-01,xgboost,ret_12m,0.022364,407
2023-12-01,xgboost,ret_3m,0.01198,407
2023-12-01,xgboost,amihud,0.005535,407
2023-12-01,xgboost,ret_6m,0.004471,407
2023-12-01,xgboost,vol_ratio,0.00205,407
2023-12-01,xgboost,ret_1w,0.001458,407
2023-12-01,xgboost,vol_3m,0.001246,407
2023-12-01,xgboost,vol_1m,8.9e-05,407
2024-01-01,xgboost,log_mktcap,0.142133,407
2024-01-01,xgboost,ret_1m,0.06234,407
2024-01-01,xgboost,ret_12m,0.023193,407
2024-01-01,xgboost,ret_3m,0.010612,407
2024-01-01,xgboost,amihud,0.008475,407
2024-01-01,xgboost,vol_3m,0.005529,407
2024-01-01,xgboost,ret_6m,0.002966,407
2024-01-01,xgboost,ret_1w,0.001113,407
2024-01-01,xgboost,vol_ratio,0.000975,407
2024-01-01,xgboost,vol_1m,0.000239,407
2024-02-01,xgboost,log_mktcap,0.208459,407
2024-02-01,xgboost,ret_1m,0.049636,407
2024-02-01,xgboost,ret_12m,0.033646,407
2024-02-01,xgboost,ret_3m,0.02348,407
2024-02-01,xgboost,amihud,0.009033,407
2024-02-01,xgboost,vol_ratio,0.008018,407
2024-02-01,xgboost,ret_6m,0.004183,407
2024-02-01,xgboost,ret_1w,0.00225,407
