model_family,configuration_id,configuration_parameters,compliance_score_arithmetic,compliance_score_geometric,compliance_score_rms,accuracy_score,robustness_score,fairness_score,explainability_score,sharpe,max_drawdown,avg_turnover,ann_return,ann_vol,sortino,calmar
mlp,mlp_24,"layers=(256, 128),alpha=0.001,lr_init=0.005,bs=64",0.574548,0.466682,0.619096,0.44856,0.424958,0.809258,0.615414,0.811489,0.191846,0.852356,0.170891,0.210589,1.155327,0.89077
mlp,mlp_24,"layers=(256, 128),alpha=0.001,lr_init=0.005,bs=64",0.574548,0.466682,0.619096,0.44856,0.424958,0.809258,0.615414,0.811489,0.191846,0.852356,0.170891,0.210589,1.155327,0.89077
mlp,mlp_25,"layers=(64,),alpha=0.01,lr_init=0.001,bs=64",0.58605,0.482989,0.625769,0.447348,0.468996,0.821754,0.606103,1.393712,0.19706,0.920673,0.306979,0.22026,2.021093,1.557798
mlp,mlp_25,"layers=(64,),alpha=0.01,lr_init=0.001,bs=64",0.58605,0.482989,0.625769,0.447348,0.468996,0.821754,0.606103,1.393712,0.19706,0.920673,0.306979,0.22026,2.021093,1.557798
mlp,mlp_26,"layers=(256, 128),alpha=0.0001,lr_init=0.005,bs=64",0.57529,0.466905,0.620584,0.451235,0.423997,0.82495,0.600977,1.16903,0.181253,0.90195,0.231335,0.197886,1.80224,1.276312
mlp,mlp_26,"layers=(256, 128),alpha=0.0001,lr_init=0.005,bs=64",0.57529,0.466905,0.620584,0.451235,0.423997,0.82495,0.600977,1.16903,0.181253,0.90195,0.231335,0.197886,1.80224,1.276312
mlp,mlp_27,"layers=(256, 128),alpha=0.1,lr_init=0.005,bs=128",0.550332,0.381055,0.61945,0.443579,0.292035,0.809074,0.65664,0.325121,0.253784,0.768956,0.078805,0.242385,0.452773,0.310519
mlp,mlp_27,"layers=(256, 128),alpha=0.1,lr_init=0.005,bs=128",0.550332,0.381055,0.61945,0.443579,0.292035,0.809074,0.65664,0.325121,0.253784,0.768956,0.078805,0.242385,0.452773,0.310519
mlp,mlp_28,"layers=(256,),alpha=0.01,lr_init=0.0005,bs=256",0.607448,0.50705,0.641688,0.450035,0.535156,0.826655,0.617946,1.056559,0.175129,0.959018,0.19742,0.186852,1.604859,1.127282
mlp,mlp_28,"layers=(256,),alpha=0.01,lr_init=0.0005,bs=256",0.607448,0.50705,0.641688,0.450035,0.535156,0.826655,0.617946,1.056559,0.175129,0.959018,0.19742,0.186852,1.604859,1.127282
mlp,mlp_29,"layers=(64, 32),alpha=0.001,lr_init=0.001,bs=128",0.607546,0.505452,0.64379,0.453482,0.526467,0.846173,0.604062,0.858592,0.155668,0.939613,0.156096,0.181804,1.215174,1.002744
mlp,mlp_29,"layers=(64, 32),alpha=0.001,lr_init=0.001,bs=128",0.607546,0.505452,0.64379,0.453482,0.526467,0.846173,0.604062,0.858592,0.155668,0.939613,0.156096,0.181804,1.215174,1.002744
mlp,mlp_30,"layers=(32,),alpha=0.0001,lr_init=0.0001,bs=64",0.610409,0.511404,0.642355,0.447883,0.561427,0.819471,0.612855,1.190443,0.199767,0.954998,0.217234,0.182482,1.656894,1.087439
mlp,mlp_30,"layers=(32,),alpha=0.0001,lr_init=0.0001,bs=64",0.610409,0.511404,0.642355,0.447883,0.561427,0.819471,0.612855,1.190443,0.199767,0.954998,0.217234,0.182482,1.656894,1.087439
