date,model,model_date,k_removed,n_removed_features,fraction_features_removed,removed_features,RGE_star,n_assets
2024-04-01,ridge,2024-04-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m,0.903279,407
2024-04-01,ridge,2024-04-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud,0.895219,407
2024-04-01,ridge,2024-04-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m,0.811295,407
2024-04-01,ridge,2024-04-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m;ret_6m,0.877532,407
2024-04-01,ridge,2024-04-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;vol_1m;ret_1m;ret_3m;amihud;ret_12m;ret_6m;log_mktcap,0.5,407
2024-05-01,ridge,2024-05-01,0,0,0.0,,1.0,407
2024-05-01,ridge,2024-05-01,1,1,0.1,ret_1w,0.999991,407
2024-05-01,ridge,2024-05-01,2,2,0.2,ret_1w;vol_3m,0.992975,407
2024-05-01,ridge,2024-05-01,3,3,0.3,ret_1w;vol_3m;vol_ratio,0.980829,407
2024-05-01,ridge,2024-05-01,4,4,0.4,ret_1w;vol_3m;vol_ratio;ret_1m,0.9669,407
2024-05-01,ridge,2024-05-01,5,5,0.5,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m,0.976338,407
2024-05-01,ridge,2024-05-01,6,6,0.6,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m,0.909973,407
2024-05-01,ridge,2024-05-01,7,7,0.7,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud,0.896178,407
2024-05-01,ridge,2024-05-01,8,8,0.8,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_12m,0.825243,407
2024-05-01,ridge,2024-05-01,9,9,0.9,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_12m;ret_6m,0.875967,407
2024-05-01,ridge,2024-05-01,10,10,1.0,ret_1w;vol_3m;vol_ratio;ret_1m;vol_1m;ret_3m;amihud;ret_12m;ret_6m;log_mktcap,0.5,407
2024-06-03,ridge,2024-06-03,0,0,0.0,,1.0,407
2024-06-03,ridge,2024-06-03,1,1,0.1,ret_1w,0.999488,407
2024-06-03,ridge,2024-06-03,2,2,0.2,ret_1w;vol_3m,0.986017,407
2024-06-03,ridge,2024-06-03,3,3,0.3,ret_1w;vol_3m;ret_1m,0.958994,407
2024-06-03,ridge,2024-06-03,4,4,0.4,ret_1w;vol_3m;ret_1m;vol_ratio,0.942632,407
2024-06-03,ridge,2024-06-03,5,5,0.5,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m,0.882826,407
2024-06-03,ridge,2024-06-03,6,6,0.6,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;vol_1m,0.897453,407
2024-06-03,ridge,2024-06-03,7,7,0.7,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;vol_1m;amihud,0.878968,407
2024-06-03,ridge,2024-06-03,8,8,0.8,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;vol_1m;amihud;ret_6m,0.913838,407
2024-06-03,ridge,2024-06-03,9,9,0.9,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;vol_1m;amihud;ret_6m;ret_12m,0.876718,407
2024-06-03,ridge,2024-06-03,10,10,1.0,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;vol_1m;amihud;ret_6m;ret_12m;log_mktcap,0.5,407
2024-07-01,ridge,2024-07-01,0,0,0.0,,1.0,407
2024-07-01,ridge,2024-07-01,1,1,0.1,ret_1w,0.999983,407
2024-07-01,ridge,2024-07-01,2,2,0.2,ret_1w;vol_3m,0.987514,407
2024-07-01,ridge,2024-07-01,3,3,0.3,ret_1w;vol_3m;ret_1m,0.967335,407
2024-07-01,ridge,2024-07-01,4,4,0.4,ret_1w;vol_3m;ret_1m;vol_ratio,0.951865,407
2024-07-01,ridge,2024-07-01,5,5,0.5,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m,0.885969,407
2024-07-01,ridge,2024-07-01,6,6,0.6,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;amihud,0.891635,407
2024-07-01,ridge,2024-07-01,7,7,0.7,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;amihud;vol_1m,0.898315,407
2024-07-01,ridge,2024-07-01,8,8,0.8,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;amihud;vol_1m;ret_12m,0.82252,407
2024-07-01,ridge,2024-07-01,9,9,0.9,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;amihud;vol_1m;ret_12m;ret_6m,0.895304,407
2024-07-01,ridge,2024-07-01,10,10,1.0,ret_1w;vol_3m;ret_1m;vol_ratio;ret_3m;amihud;vol_1m;ret_12m;ret_6m;log_mktcap,0.5,407
2024-08-01,ridge,2024-08-01,0,0,0.0,,1.0,407
2024-08-01,ridge,2024-08-01,1,1,0.1,ret_1w,0.999976,407
2024-08-01,ridge,2024-08-01,2,2,0.2,ret_1w;vol_3m,0.98487,407
2024-08-01,ridge,2024-08-01,3,3,0.3,ret_1w;vol_3m;ret_1m,0.967029,407
2024-08-01,ridge,2024-08-01,4,4,0.4,ret_1w;vol_3m;ret_1m;vol_ratio,0.941658,407
2024-08-01,ridge,2024-08-01,5,5,0.5,ret_1w;vol_3m;ret_1m;vol_ratio;vol_1m,0.978413,407
2024-08-01,ridge,2024-08-01,6,6,0.6,ret_1w;vol_3m;ret_1m;vol_ratio;vol_1m;ret_3m,0.910967,407
