date,model,k_removed,n_removed_segments,fraction_data_removed,RGA,random_RGA,n_assets_full,n_assets_remaining
2023-01-02,xgboost,3,3,0.3,0.680507,0.504204,407,284
2023-01-02,xgboost,4,4,0.4,0.697913,0.515538,407,243
2023-01-02,xgboost,5,5,0.5,0.696305,0.507198,407,202
2023-01-02,xgboost,6,6,0.6,0.718682,0.51671,407,161
2023-01-02,xgboost,7,7,0.7,0.737181,0.546021,407,120
2023-01-02,xgboost,8,8,0.8,0.636412,0.548695,407,80
2023-01-02,xgboost,9,9,0.9,0.57362,0.549827,407,40
2023-01-02,xgboost,10,10,1.0,0.0,0.0,407,0
2023-02-01,xgboost,0,0,0.0,0.496077,0.509649,407,407
2023-02-01,xgboost,1,1,0.1,0.49758,0.515934,407,366
2023-02-01,xgboost,2,2,0.2,0.502845,0.518183,407,325
2023-02-01,xgboost,3,3,0.3,0.516983,0.523979,407,284
2023-02-01,xgboost,4,4,0.4,0.545204,0.516114,407,243
2023-02-01,xgboost,5,5,0.5,0.489063,0.514695,407,202
2023-02-01,xgboost,6,6,0.6,0.482099,0.521102,407,161
2023-02-01,xgboost,7,7,0.7,0.460751,0.537229,407,120
2023-02-01,xgboost,8,8,0.8,0.465806,0.55062,407,80
2023-02-01,xgboost,9,9,0.9,0.557448,0.587691,407,40
2023-02-01,xgboost,10,10,1.0,0.0,0.0,407,0
