date,model,group,perturbation_percentage,RGR,n_assets,model_date
2024-11-01,ridge,all_features,0.2,0.301845,407,2024-11-01
2024-11-01,ridge,all_features,0.25,0.21918,407,2024-11-01
2024-11-01,ridge,all_features,0.3,0.134614,407,2024-11-01
2024-11-01,ridge,all_features,0.35,0.064061,407,2024-11-01
2024-11-01,ridge,all_features,0.4,0.022142,407,2024-11-01
2024-11-01,ridge,all_features,0.45,0.002927,407,2024-11-01
2024-11-01,ridge,all_features,0.5,0.0,407,2024-11-01
2024-12-02,ridge,all_features,0.0,1.0,407,2024-12-02
2024-12-02,ridge,all_features,0.05,0.726911,407,2024-12-02
2024-12-02,ridge,all_features,0.1,0.525963,407,2024-12-02
2024-12-02,ridge,all_features,0.15,0.404099,407,2024-12-02
2024-12-02,ridge,all_features,0.2,0.299713,407,2024-12-02
2024-12-02,ridge,all_features,0.25,0.212797,407,2024-12-02
2024-12-02,ridge,all_features,0.3,0.131351,407,2024-12-02
2024-12-02,ridge,all_features,0.35,0.06605,407,2024-12-02
2024-12-02,ridge,all_features,0.4,0.026189,407,2024-12-02
2024-12-02,ridge,all_features,0.45,0.003277,407,2024-12-02
2024-12-02,ridge,all_features,0.5,0.0,407,2024-12-02
2025-01-01,ridge,all_features,0.0,1.0,407,2025-01-01
2025-01-01,ridge,all_features,0.05,0.709914,407,2025-01-01
2025-01-01,ridge,all_features,0.1,0.532028,407,2025-01-01
2025-01-01,ridge,all_features,0.15,0.413187,407,2025-01-01
2025-01-01,ridge,all_features,0.2,0.281908,407,2025-01-01
2025-01-01,ridge,all_features,0.25,0.199157,407,2025-01-01
2025-01-01,ridge,all_features,0.3,0.1248,407,2025-01-01
2025-01-01,ridge,all_features,0.35,0.06349,407,2025-01-01
2025-01-01,ridge,all_features,0.4,0.022639,407,2025-01-01
2025-01-01,ridge,all_features,0.45,0.003211,407,2025-01-01
2025-01-01,ridge,all_features,0.5,0.0,407,2025-01-01
2025-02-03,ridge,all_features,0.0,1.0,407,2025-02-03
2025-02-03,ridge,all_features,0.05,0.741288,407,2025-02-03
2025-02-03,ridge,all_features,0.1,0.563434,407,2025-02-03
2025-02-03,ridge,all_features,0.15,0.418219,407,2025-02-03
2025-02-03,ridge,all_features,0.2,0.286826,407,2025-02-03
2025-02-03,ridge,all_features,0.25,0.20043,407,2025-02-03
2025-02-03,ridge,all_features,0.3,0.109169,407,2025-02-03
2025-02-03,ridge,all_features,0.35,0.055773,407,2025-02-03
2025-02-03,ridge,all_features,0.4,0.018603,407,2025-02-03
2025-02-03,ridge,all_features,0.45,0.002992,407,2025-02-03
2025-02-03,ridge,all_features,0.5,0.0,407,2025-02-03
2025-03-03,ridge,all_features,0.0,1.0,407,2025-03-03
2025-03-03,ridge,all_features,0.05,0.721874,407,2025-03-03
2025-03-03,ridge,all_features,0.1,0.55177,407,2025-03-03
2025-03-03,ridge,all_features,0.15,0.401372,407,2025-03-03
